row.names,tree_order,tree_species_name,primary_defense_special_resemblance_masquerade,primary_defense_general_resemblance_crypsis,Region,World,Resemblance,res,wings_display,arms_display,wings_colours,arms_colours,abdomen_colours,wings_eyespots,arms_eyespots,display_includes_sound_abd_or_wings,mouth_display,display_complexity,Presence_display,bodylength_f_ave,bodylength_f_SD,bodylength_m_ave,bodylength_m_SD,pronlength_f_ave,pronlength_f_SD,pronlength_m_ave,pronlength_m_SD,forewinglength_f_ave,forewinglength_f_SD,forewinglength_m_ave,forewinglength_m_SD,forewinglength_pronotum_F,forewinglength_pronotum_M,bodylength_pronotum_F,bodylength_pronotum_M,forewinglength_bodylength_f,forewinglength_bodylength_m,DIMORPHISM_forewing_BD_ratio,DIMORPHISM_bodylength,DIMORPHISM_pronlength,DIMORPHISM_forewinglength,DIMORPHISM_forewinglength_pronotum,behav_author,Edmunds,behav_ref,behav_mantises_examined
Popa_spurca,22,Popa spurca,1,0,Africa,Old,stick,1,1,1,1,1,0,0,0,0,0,4,1,64.609,2.114,61.264,0.696,21.544,2.648,16.87,0.565,28.811,4.379,42.711,0.775,1.337309692,2.531772377,2.998932417,3.63153527,0.445928586,0.697163097,0.63963309,3.345,4.674,-13.9,-1.194462685,Edmunds,1,Edmunds (1976),2 males
Prohierodula_ornatipennis,9,Prohierodula ornatipennis,0,1,Africa,Old,n,0,1,1,1,1,0,0,0,0,0,4,1,65,,61,,18,,15,,35,,45,,1.944444444,3,3.611111111,4.066666667,0.538461538,0.737704918,0.729914529,4,3,-10,-1.055555556,Edmunds,1,Edmunds (1976),1 male & 1 female
Pseudocreobotra_occellata,40,Pseudocreobotra occellata,0,1,Africa,Old,flower,1,1,1,1,0,0,1,0,1,0,4,1,31.165,2.732,23.726,0.972,5.877,0.398,4.768,0.229,25.502,0.587,23.797,0.66,4.339288753,4.990981544,5.302875617,4.976090604,0.818289748,1.002992498,0.815848324,7.439,1.109,1.705,-0.651692791,Edmunds,1,Edmunds (1972),numerous males and 3 females
Pseudomantis_albofimbriata,16,Pseudomantis albofimbriata,0,1,Oceania,New,n,0,1,1,0,0,0,0,1,0,0,2,1,65,,45,,16,,14,,,,,,,,4.0625,3.214285714,,,,20,2,,,Barry,0,Barry (pers comm),> 100 m and 100 f
Pyrgomantis_jonesi,62,Pyrgomantis jonesi,1,0,Africa,Old,n,0,0,0,0,0,0,0,0,0,0,0,0,44.021,1.452,38.27,0.999,7.871,0.173,6.946,0.186,3.84,0.338,19.216,0.745,0.487866853,2.766484308,5.592809046,5.509645839,0.087231094,0.50211654,0.173726788,5.751,0.925,-15.376,-2.278617455,Edmunds,1,Edmunds (1972),>5 males and 3 females
Sibylla_operosa,47,Sibylla operosa,1,0,Africa,Old,leaf,1,0,0,0,0,0,0,0,0,0,0,0,65.09,,51.996,1.324,27.461,,21.849,0.881,46.841,,37.948,1.729,1.705728124,1.736830061,2.370270566,2.379788549,0.719634352,0.729825371,0.986036359,13.094,5.612,8.893,-0.031101937,Edmunds,1,Edmunds (1976),2 males
Sphodromantis_lineola,12,Sphodromantis lineola,0,1,Africa,Old,n,0,1,1,0,1,0,0,1,0,1,4,1,62,,54,,24,,16.5,,41,,45,,1.708333333,2.727272727,2.583333333,3.272727273,0.661290323,0.833333333,0.793548388,8,7.5,-4,-1.018939394,Edmunds,1,Edmunds (1976),1 male & 1 female
Sphodropoda_moesta,15,Sphodropoda moesta,0,1,Oceania,New,n,0,0,0,0,0,0,0,0,0,0,0,0,47.584,,41.381,,11.599,,10.256,,27.966,,30.996,,2.41106992,3.022230889,4.102422623,4.034808892,0.587718561,0.749039414,0.784629687,6.203,1.343,-3.03,-0.611160969,Holwell,0,Holwell (pers comm),males and females
Stagmatoptera_supplicaria,5,Stagmatoptera supplicaria,0,1,America,New,n,0,1,1,1,0,0,1,0,0,1,4,1,72.67,7.053,64.3,2.763,27.801,3.133,21.836,1.857,45.317,3.667,47.286,2.545,1.630049279,2.165506503,2.613934751,2.944678513,0.623599835,0.735396579,0.847977613,8.37,5.965,-1.969,-0.535457224,Maldonado,0,Maldonado (1970),20 females 
Stagmomantis_carolina,6,Stagmomantis carolina,0,1,America,New,n,1,1,1,1,1,0,0,0,0,0,4,1,50.523,0.783,48.332,1.414,18.755,0.457,16.002,0.415,22.051,0.684,33.857,0.592,1.175739803,2.115798025,2.693841642,3.020372453,0.436454684,0.70050898,0.623053661,2.191,2.753,-11.806,-0.940058223,Crane,0,Crane (1952),not mentioned
Statilia_apicalis,21,Statilia apicalis,0,1,Asia_Africa_Oceania,Old,n,1,1,1,0,1,0,0,0,1,0,4,1,48.487,0.318,48.074,2.455,16.243,0.289,14.519,0.975,31.765,1.543,29.983,1.678,1.955611648,2.065087127,2.985101274,3.311109581,0.655124054,0.62368432,1.050409691,0.413,1.724,1.782,-0.109475479,Edmunds,1,Edmunds (1976),1 male
Tarachodes_afzelii,61,Tarachodes afzelii,0,1,Africa,Old,bark,1,1,1,1,1,0,0,0,0,0,4,1,32.399,1.627,35.409,2.415,8.407,0.641,7.606,0.533,5.906,0.457,31.33,0.617,0.702509813,4.119116487,3.853812299,4.655403629,0.182289577,0.884803299,0.206022714,-3.01,0.801,-25.424,-3.416606674,Edmunds,1,Edmunds (1972),>5 males and >5 females
Tenodera_superstitiosa,11,Tenodera superstitiosa,0,1,Africa,Old,stick,1,1,1,1,0,0,0,0,1,0,4,1,101.679,17.49,88.324,5.269,38.757,7.854,32.689,3.417,67.681,6.478,57.317,0.143,1.746290993,1.753403286,2.623500271,2.701948668,0.665634005,0.648940265,1.025724617,13.355,6.068,10.364,-0.007112293,Edmunds,1,Edmunds (1972),numerous males and females
Theopompella_chopardi,26,Theopompella chopardi,1,0,Africa,Old,bark,1,0,0,0,0,0,0,0,0,0,0,0,44.264,0.038,41.33,1.042,9.863,0.167,9.977,0.323,33.872,0.127,39.376,1.08,3.434249214,3.946677358,4.487884011,4.142527814,0.765226821,0.952721994,0.803200541,2.934,-0.114,-5.504,-0.512428144,Edmunds,1,Edmunds (1976),1 male
Theopropus_elegans,46,Theopropus elegans,1,0,Asia,Old,flower,1,1,1,1,0,0,0,0,0,0,3,1,39.972,2.851,19.951,0.319,10.537,0.327,4.707,0.086,27.772,1.126,15.351,0.444,2.6356648,3.261312938,3.793489608,4.238580837,0.69478635,0.769435116,0.902982377,20.021,5.83,12.421,-0.625648138,Varley,0,Varley (1939),not mentioned
Thesprotia_graminis,90,Thesprotia graminis,1,0,America,New,stick,1,0,0,0,0,0,0,0,0,0,0,0,52.804,,44.528,1.602,19.21,,12.395,0.873,,,19.044,1.837,,1.536425978,2.748776679,3.592416297,,0.42768595,,8.276,6.815,,-1.536425978,Crane,0,Crane (1952),">20, males and females"
Vates_pectinacornis,3,Vates pectinacornis,0,1,America,New,leaf,1,0,0,0,0,0,0,0,0,0,0,0,56.652,,51.625,1.255,23.256,,19.592,1.16,41.181,,39.238,2.822,1.770768834,2.002756227,2.436016512,2.635004083,0.726911671,0.760058111,0.956389597,5.027,3.664,1.943,-0.231987393,Crane,0,Crane (1952),1 female
